Название кампании,№ Кампании,День,Показы,Клики,"Расход, ₽",Конверсии,"CR, %","CPA, ₽"
Итого,,,628253,3020,151706.46,127,4.21,1194.54
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,01.06.2026,24,0,0.00,0,-,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,01.06.2026,61,5,1123.66,2,40.00,561.83
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,01.06.2026,51,4,545.15,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,01.06.2026,60,0,0.00,0,-,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,01.06.2026,18,1,10.39,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,01.06.2026,29,1,34.83,0,0.00,-
10. Форма | РСЯ,115971938,01.06.2026,14225,43,2560.50,1,2.33,2560.50
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,01.06.2026,2945,27,1142.42,1,3.70,1142.42
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,01.06.2026,16,0,0.00,0,-,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,01.06.2026,105,5,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,01.06.2026,3096,40,750.92,2,5.00,375.46
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,02.06.2026,59,4,364.06,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,02.06.2026,31,4,1304.92,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,02.06.2026,57,5,830.22,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,02.06.2026,36,6,460.97,1,16.67,460.97
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,02.06.2026,16,3,483.35,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,02.06.2026,23,3,414.10,0,0.00,-
10. Форма | РСЯ,115971938,02.06.2026,20945,79,3310.15,1,1.27,3310.15
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,02.06.2026,4411,44,2397.51,6,13.64,399.59
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,02.06.2026,38,1,0.00,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,02.06.2026,165,8,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,02.06.2026,3718,36,492.25,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,03.06.2026,83,4,176.99,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,03.06.2026,45,5,855.38,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,03.06.2026,45,6,388.83,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,03.06.2026,16,3,503.30,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,03.06.2026,16,2,33.14,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,03.06.2026,10,2,276.71,0,0.00,-
10. Форма | РСЯ,115971938,03.06.2026,22766,70,3606.08,2,2.86,1803.04
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,03.06.2026,4518,37,2000.65,3,8.11,666.88
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,03.06.2026,400,1,0.00,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,03.06.2026,87,7,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,03.06.2026,16386,144,2319.03,3,2.08,773.01
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,04.06.2026,111,5,661.03,3,60.00,220.34
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,04.06.2026,36,8,1218.30,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,04.06.2026,54,6,593.89,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,04.06.2026,31,6,413.50,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,04.06.2026,9,3,36.03,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,04.06.2026,17,3,495.21,1,33.33,495.21
10. Форма | РСЯ,115971938,04.06.2026,15135,58,2558.84,1,1.72,2558.84
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,04.06.2026,11340,60,2532.09,4,6.67,633.02
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,04.06.2026,203,2,0.00,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,04.06.2026,114,3,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,04.06.2026,8226,136,1622.42,1,0.74,1622.42
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,05.06.2026,62,4,454.45,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,05.06.2026,42,2,43.60,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,05.06.2026,44,7,1081.19,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,05.06.2026,28,1,103.50,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,05.06.2026,7,1,184.99,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,05.06.2026,15,4,360.79,0,0.00,-
10. Форма | РСЯ,115971938,05.06.2026,7849,23,883.54,2,8.70,441.77
